THUNDERSTROM WIND,THUNDERSTORM WIND
SNOW AND COLD,WINTER WEATHER
HOT PATTERN,EXCESSIVE HEAT
PROLONG COLD/SNOW,WINTER WEATHER
BRUSH FIRES,WILDFIRE
SNOW\COLD,WINTER WEATHER
WINTER MIX,WINTER WEATHER
EXCESSIVE PRECIPITATION,HEAVY RAIN
SNOWFALL RECORD,HEAVY SNOW
HOT/DRY PATTERN,EXCESSIVE HEAT
DRY PATTERN,EXCESSIVE HEAT
MILD/DRY PATTERN,ERROR
MILD PATTERN,ERROR
LANDSLIDES,FLOOD
HEAVY SHOWERS,HEAVY RAIN
LAKE-EFFECT SNOW,LAKE-EFFECT SNOW
BRUSH FIRE,WILDFIRE
URBAN SMALL STREAM FLOOD,FLOOD
SAHARAN DUST,DUST STORM
HEAVY SHOWER,HEAVY RAIN
HEAVY SWELLS,HIGH SURF
URBAN SMALL,ERROR
SMALL STREAM,FLOOD
LANDSLIDE/URBAN FLOOD,FLOOD
EXTREME WINDCHILL,FROST/FREEZE
URBAN/SML STREAM FLD,FLOOD
TSTM WIND/HAIL,THUNDERSTORM WIND
RECORD DRY MONTH,ERROR
TEMPERATURE RECORD,ERROR
ROUGH SURF,HIGH SURF
MARINE ACCIDENT,ERROR
COASTAL STORM,COASTAL FLOOD
COASTALFLOOD,COASTAL FLOOD
EROSION/CSTL FLOOD,COASTAL FLOOD
LIGHT SNOW/FLURRIES,WINTER WEATHER
WET MONTH,ERROR
WET YEAR,ERROR
BEACH EROSION,COASTAL FLOOD
HOT AND DRY,EXCESSIVE HEAT
RAIN DAMAGE,HEAVY RAIN
UNSEASONABLE COLD,WINTER WEATHER
ICE FOG,WINTER WEATHER
EXCESSIVE COLD,WINTER WEATHER
TORRENTIAL RAINFALL,HEAVY RAIN
LANDSLUMP,FLOOD
LATE-SEASON SNOWFALL,WINTER WEATHER
HURRICANE EDOUARD,HURRICANE (TYPHOON)
RECORD WARM TEMPS.,EXCESSIVE HEAT
EXTENDED COLD,WINTER WEATHER
FREEZING FOG,DENSE FOG
DRIFTING SNOW,WINTER WEATHER
WHIRLWIND,STRONG WIND
LATE SNOW,WINTER WEATHER
RECORD MAY SNOW,ERROR
RECORD WINTER SNOW,HEAVY SNOW
RECORD TEMPERATURE,ERROR
LATE SEASON SNOWFALL,WINTER WEATHER
GUSTY WIND,STRONG WIND
MIXED PRECIP,ERROR
BLACK ICE,FROST/FREEZE
GRADIENT WIND,STRONG WIND
FREEZING SPRAY,FROST/FREEZE
ERROR,ERROR
"METRO STORM, MAY 26",THUNDERSTORM WIND
WET MICOBURST,THUNDERSTORM WIND
NO SEVERE WEATHER,ERROR
LIGHT SNOWFALL,WINTER WEATHER
GUSTY WIND/RAIN,STRONG WIND
GUSTY WIND/HVY RAIN,STRONG WIND
EARLY SNOWFALL,WINTER WEATHER
MONTHLY SNOWFALL,ERROR
SEASONAL SNOWFALL,ERROR
MONTHLY RAINFALL,ERROR
COLD TEMPERATURE,COLD/WIND CHILL
SML STREAM FLD,FLOOD
MUDSLIDE/LANDSLIDE,FLOOD
VOLCANIC ASH,VOLCANIC ASH
THUNDERSNOW SHOWER,HEAVY RAIN
NONE,ERROR
COLD AND SNOW,WINTER WEATHER
DAM BREAK,ERROR
TSTM WIND (G45),THUNDERSTORM WIND
BLOW-OUT TIDES,HIGH SURF
UNSEASONABLY COOL,WINTER WEATHER
TSTM HEAVY RAIN,THUNDERSTORM WIND
TSTM WIND 40,THUNDERSTORM WIND
TSTM WIND 45,THUNDERSTORM WIND
TSTM WIND (41),THUNDERSTORM WIND
TSTM WIND (G40),THUNDERSTORM WIND
TSTM WND,THUNDERSTORM WIND
FROST/FREEZE,FROST/FREEZE
RAIN (HEAVY),HEAVY RAIN
COLD AND FROST,FROST/FREEZE
URBAN/SML STREAM FLDG,FLOOD
LATE FREEZE,FROST/FREEZE
BLOW-OUT TIDE,STORM SURGE/TIDE
HYPOTHERMIA/EXPOSURE,FROST/FREEZE
MIXED PRECIPITATION,WINTER WEATHER
COASTALSTORM,COASTAL FLOOD
SNOW AND SLEET,SLEET
ICESTORM/BLIZZARD,BLIZZARD
TSTM WIND AND LIGHTNING,THUNDERSTORM WIND
MOUNTAIN SNOWS,HEAVY SNOW
URBAN/SMALL STRM FLDG,FLOOD
HEAVY SURF AND WIND,HIGH SURF
MILD AND DRY PATTERN,ERROR
TYPHOON,HURRICANE (TYPHOON)
HIGH SWELLS,HIGH SURF
HIGH  SWELLS,HIGH SURF
DRY SPELL,ERROR
UNSEASONAL RAIN,HEAVY RAIN
EARLY RAIN,HEAVY RAIN
PROLONGED RAIN,HEAVY RAIN
WINTERY MIX,WINTER WEATHER
HOT SPELL,ERROR
UNSEASONABLY HOT,EXCESSIVE HEAT
TSTM WIND  (G45),THUNDERSTORM WIND
TSTM WIND (G35),THUNDERSTORM WIND
DRY WEATHER,EXCESSIVE HEAT
ABNORMAL WARMTH,EXCESSIVE HEAT
UNUSUAL WARMTH,EXCESSIVE HEAT
WAKE LOW WIND,ERROR
COLD TEMPERATURES,WINTER WEATHER
COLD WIND CHILL TEMPERATURES,WINTER WEATHER
MODERATE SNOW,WINTER WEATHER
MODERATE SNOWFALL,WINTER WEATHER
URBAN/STREET FLOOD,FLOOD
COASTAL EROSION,COASTAL FLOOD
UNUSUAL/RECORD WARMTH,EXCESSIVE HEAT
BITTER WIND CHILL,WINTER WEATHER
BITTER WIND CHILL TEMPERATURES,WINTER WEATHER
SEICHE,SEICHE
TSTM,THUNDERSTORM WIND
COASTAL  FLOOD,COASTAL FLOOD
UNSEASONABLY WARM YEAR,EXCESSIVE HEAT
HYPERTHERMIA/EXPOSURE,FROST/FREEZE
ROCK SLIDE,FLOOD
ICE PELLETS,WINTER WEATHER
PATCHY DENSE FOG,DENSE FOG
RECORD COOL,WINTER WEATHER
RECORD WARM,EXCESSIVE HEAT
HOT WEATHER,EXCESSIVE HEAT
TROPICAL DEPRESSION,TROPICAL DEPRESSION
VOLCANIC ERUPTION,VOLCANIC ASH
COOL SPELL,WINTER WEATHER
WIND ADVISORY,STRONG WIND
GUSTY WIND/HAIL,STRONG WIND
RED FLAG FIRE WX,WILDFIRE
FIRST FROST,FROST/FREEZE
EXCESSIVELY DRY,EXCESSIVE HEAT
LIGHT SNOW/FREEZING PRECIP,WINTER WEATHER
VOG,ERROR
MONTHLY PRECIPITATION,ERROR
MONTHLY TEMPERATURE,ERROR
RECORD DRYNESS,DROUGHT
EXTREME WINDCHILL TEMPERATURES,EXCESSIVE HEAT
DRY CONDITIONS,DROUGHT
REMNANTS OF FLOYD,ERROR
LANDSPOUT,ERROR
DRIEST MONTH,DROUGHT
RECORD  COLD,FROST/FREEZE
LATE SEASON HAIL,WINTER WEATHER
EXCESSIVE SNOW,HEAVY SNOW
DRYNESS,DROUGHT
WIND AND WAVE,STORM SURGE/TIDE
LIGHT FREEZING RAIN,WINTER WEATHER
RECORD PRECIPITATION,ERROR
ICE ROADS,SLEET
ROUGH SEAS,HIGH SURF
UNSEASONABLY WARM/WET,ERROR
UNSEASONABLY COOL & WET,ERROR
UNUSUALLY WARM,EXCESSIVE HEAT
TSTM WIND G45,THUNDERSTORM WIND
NON SEVERE HAIL,ERROR
NON-SEVERE WIND DAMAGE,ERROR
UNUSUALLY COLD,WINTER WEATHER
WARM WEATHER,EXCESSIVE HEAT
UNSEASONABLY WARM & WET,ERROR
LOCALLY HEAVY RAIN,HEAVY RAIN
WIND GUSTS,STRONG WIND
UNSEASONAL LOW TEMP,FROST/FREEZE
LATE SEASON SNOW,WINTER WEATHER
GUSTY LAKE WIND,STRONG WIND
ABNORMALLY DRY,DROUGHT
RED FLAG CRITERIA,WILDFIRE
WND,STRONG WIND
CSTL FLOOD,COASTAL FLOOD
SMOKE,DENSE SMOKE
SNOW ADVISORY,WINTER WEATHER
EXTREMELY WET,ERROR
UNUSUALLY LATE SNOW,WINTER WEATHER
VERY DRY,DROUGHT
RECORD LOW RAINFALL,ERROR
ROGUE WAVE,HIGH SURF
PROLONG WARMTH,EXCESSIVE HEAT
ACCUMULATED SNOWFALL,WINTER WEATHER
FALLING SNOW/ICE,WINTER WEATHER
DUST DEVEL,DUST DEVIL
NON-TSTM WIND,STRONG WIND
NON TSTM WIND,STRONG WIND
GUSTY THUNDERSTORM WIND,STRONG WIND
PATCHY ICE,FROST/FREEZE
NORTHERN LIGHTS,ERROR
MARINE TSTM WIND,MARINE THUNDERSTORM WIND
HAZARDOUS SURF,HIGH SURF
ASTRONOMICAL HIGH TIDE,ERROR
VERY WARM,EXCESSIVE HEAT
ABNORMALLY WET,ERROR
EXTREME COLD/WIND CHILL,FROST/FREEZE
ICE ON ROAD,FROST/FREEZE
DROWNING,ERROR
MARINE HAIL,MARINE THUNDERSTORM WIND
HURRICANE/TYPHOON,HURRICANE (TYPHOON)
HEAVY SURF/HIGH SURF,HIGH SURF
STORM SURGE/TIDE,STORM SURGE/TIDE
COLD/WIND CHILL,WINTER WEATHER
MARINE HIGH WIND,MARINE HIGH WIND
TSUNAMI,TSUNAMI
DENSE SMOKE,DENSE SMOKE
LAKESHORE FLOOD,LAKESHORE FLOOD
MARINE THUNDERSTORM WIND,MARINE THUNDERSTORM WIND
MARINE STRONG WIND,MARINE STRONG WIND
ASTRONOMICAL LOW TIDE,ASTRONOMICAL LOW TIDE
